countries,value,diff95,h_year
BEL,-1,0,1990
BGR,2.22E-16,0,1990
CZE,-0.616767945,-0.079448688,1990
DNK,-1,0,1990
DEU,-0.351916557,-0.070681324,1990
EST,2.22E-16,0,1990
IRL,-1,0,1990
GRC,-0.620758182,0.122725237,1990
ESP,-0.049873969,-0.587073657,1990
FRA,-0.678254226,0.149506617,1990
HRV,2.22E-16,0,1990
ITA,-0.162497864,-0.102486531,1990
CYP,-0.687430346,0.04079708,1990
LVA,2.22E-16,0,1990
LTU,2.22E-16,0,1990
LUX,-1,0,1990
HUN,2.22E-16,0,1990
MLT,2.22E-16,0,1990
NLD,-1,0,1990
AUT,-1,0,1990
POL,2.22E-16,0,1990
PRT,2.22E-16,0,1990
ROU,2.22E-16,0,1990
SVN,-0.636303904,-0.032777765,1990
SVK,2.22E-16,0,1990
FIN,-1,0,1990
SWE,2.22E-16,0,1990
BEL,-1,0,1991
BGR,2.22E-16,0,1991
CZE,-0.606532254,-0.094725874,1991
DNK,-1,0,1991
DEU,-0.347866628,-0.081376117,1991
EST,2.22E-16,0,1991
IRL,-1,0,1991
GRC,-0.613132038,0.108932321,1991
ESP,-0.07587141,-0.371830552,1991
FRA,-0.665801032,0.128400918,1991
HRV,2.22E-16,0,1991
ITA,-0.167638423,-0.074094026,1991
CYP,-0.719241446,0.08896036,1991
LVA,2.22E-16,0,1991
LTU,2.22E-16,0,1991
LUX,-1,0,1991
HUN,2.22E-16,0,1991
MLT,2.22E-16,0,1991
NLD,-1,0,1991
AUT,-1,0,1991
POL,2.22E-16,0,1991
PRT,2.22E-16,0,1991
ROU,2.22E-16,0,1991
SVN,-0.634568987,-0.035414949,1991
SVK,2.22E-16,0,1991
FIN,-1,0,1991
SWE,2.22E-16,0,1991
BEL,-1,0,1992
BGR,2.22E-16,0,1992
CZE,-0.615923183,-0.08070953,1992
DNK,-1,0,1992
DEU,-0.352220773,-0.069877971,1992
EST,2.22E-16,0,1992
IRL,-1,0,1992
GRC,-0.605137745,0.094473561,1992
ESP,-0.096727913,-0.199151303,1992
FRA,-0.642779084,0.089383276,1992
HRV,2.22E-16,0,1992
ITA,-0.173106168,-0.0438944,1992
CYP,-0.730383035,0.10582917,1992
LVA,2.22E-16,0,1992
LTU,2.22E-16,0,1992
LUX,-1,0,1992
HUN,2.22E-16,0,1992
MLT,2.22E-16,0,1992
NLD,-1,0,1992
AUT,-1,0,1992
POL,2.22E-16,0,1992
PRT,2.22E-16,0,1992
ROU,2.22E-16,0,1992
SVN,-0.647865158,-0.015203926,1992
SVK,2.22E-16,0,1992
FIN,-1,0,1992
SWE,2.22E-16,0,1992
BEL,-1,0,1993
BGR,2.22E-16,0,1993
CZE,-0.628928531,-0.061298518,1993
DNK,-1,0,1993
DEU,-0.362315548,-0.043220336,1993
EST,2.22E-16,0,1993
IRL,-1,0,1993
GRC,-0.591546501,0.069891956,1993
ESP,-0.107595066,-0.109177846,1993
FRA,-0.621130223,0.052692743,1993
HRV,2.22E-16,0,1993
ITA,-0.176591114,-0.024646234,1993
CYP,-0.719872588,0.089915933,1993
LVA,2.22E-16,0,1993
LTU,2.22E-16,0,1993
LUX,-1,0,1993
HUN,2.22E-16,0,1993
MLT,2.22E-16,0,1993
NLD,-1,0,1993
AUT,-1,0,1993
POL,2.22E-16,0,1993
PRT,2.22E-16,0,1993
ROU,2.22E-16,0,1993
SVN,-0.657559756,-0.000467524,1993
SVK,2.22E-16,0,1993
FIN,-1,0,1993
SWE,2.22E-16,0,1993
BEL,-1,0,1994
BGR,2.22E-16,0,1994
CZE,-0.64579935,-0.036118132,1994
DNK,-1,0,1994
DEU,-0.36926852,-0.024859374,1994
EST,2.22E-16,0,1994
IRL,-1,0,1994
GRC,-0.575018542,0.039998903,1994
ESP,-0.120519743,-0.002169323,1994
FRA,-0.604073069,0.023784245,1994
HRV,2.22E-16,0,1994
ITA,-0.177884476,-0.017502694,1994
CYP,-0.694744103,0.0518704,1994
LVA,2.22E-16,0,1994
LTU,2.22E-16,0,1994
LUX,-1,0,1994
HUN,2.22E-16,0,1994
MLT,2.22E-16,0,1994
